被评论的商品ID,被评论的商品类别,评论账号,评论人的URL,评论内容,评论地点,评论时间,评论URL,评论来源,标签,采集日期,评价
NULL,NULL,b***9,NULL,服务态度不怎么好，屋里设施比较简陋，唯一好点的就是私汤还不错,NULL,2014-12-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,t***鱼,NULL,地点偏僻环境一般，不过价格还可以，值得去体验！,NULL,2014-11-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***0,NULL,好期待阿 离家近人气高！！！！！,NULL,2014-11-14,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,P***e,NULL,apec期间涨价，根本约不上。还要输入15个字,NULL,2014-11-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=8269383&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,大***r,NULL,第一次去，总体好评。周末780的竹院，挺干净的,NULL,2015-04-19,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10601581&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,x***2,NULL,温泉和温泉池不错，房间设施一般，和农家乐似的。,NULL,2015-03-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10601581&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,z***b,NULL,比较满意，房间很舒服，热水很好，酒店人员服务态度也很不错，值得推荐。建议办理多次入镇手续。,NULL,2015-04-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11506597&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,n***8,NULL,刚刚预约，还没有去，不知道怎么样,NULL,2015-04-09,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11506597&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,好***2,NULL,导游人非常好，我们带着80多岁的老人，一路上特别照顾我们。进了两家购物店，没有强制消费，一路上也不赶时间，非常好,NULL,2015-04-28,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11572904&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,汪***9,NULL,确实全程没有额外收费，导游和司机态度都很好！超负责任的导游和旅行社，完全无负担的出游，全程没有自费项目！,NULL,2015-04-27,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11572904&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,Q***5,NULL,非常不错的一次游玩，虽然天气很热，又累，但玩得很开心，导游的服务也一级棒，中餐既丰富又很美味，司机师傅一直提醒大家别忘记拿东西，整个游玩的队伍很团结，开心，总之是一次非常的游玩。,NULL,2015-04-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11572904&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***9,NULL,超级赞！性价比很高！没有加钱！自己没有时间去，给家里亲戚定的，他们很满意，很开心！,NULL,2015-04-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11572904&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,远***2,NULL,行程很顺利，一路畅通无阻。导游很棒，把有可能出现的问题提前和大家说清楚，大家都很安心。午餐也还可以，是正规的旅行社。,NULL,2015-04-25,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11572904&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,Q***子,NULL,不错的安排，除了团餐一般（可以理解），其他都很赞！导游很有经验，带团很好，行程很顺利。收费合理，没有附加费用。,NULL,2015-04-24,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11572904&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***4,NULL,还蛮好的，可以听听解说，导游还是很负责的，讲解很有意思。另外，可以参加一下自费，里面的蜡像很逼真，值得看看，而且80元也不贵。,NULL,2015-04-18,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11572904&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***4,NULL,"很省心很愉快的行程 。导游也很好,重点都讲解的很到位。行程安排紧凑合理，全程大巴陪同。团餐也很好，北京的地道菜，味道可以，而且吃到饱！",NULL,2015-04-15,http://t.dianping.com/ajax/detailDealRate?dealGroupId=11572904&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,g***a,NULL,老板很热情，价格公道，菜量也还不错，我们7个人给了10菜,NULL,2014-10-06,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6174191&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,M***y,NULL,店家态度很好  玩的也尽兴,NULL,2014-07-25,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6174191&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,q***0,NULL,劝大家千万不要去这家，贵不说服务态度还超差，去玩了回来心情更不舒服了，很失败的一次！,NULL,2014-09-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6174204&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***o,NULL,烤全羊很好吃，羊不大，价格实惠，服务也很好，点的别的菜一般。,NULL,2014-06-30,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6174337&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,q***2,NULL,好 黑吉林 好极了 好棒啊 够了,NULL,2014-10-20,http://t.dianping.com/ajax/detailDealRate?dealGroupId=6484362&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,丸***抠,NULL,…………………………………………,NULL,2015-03-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=10590685&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,阿***雅,NULL,非常棒，温泉水温很舒服，价格也可以接受，酒店的话特别大气，而且早餐和晚餐非常丰盛。温泉还搓了个澡 有点惬意,NULL,2015-01-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2035153&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,最***A,NULL,还不错，房车酒店在山上有点远，环境还不错。,NULL,2015-03-23,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,敬***8,NULL,特别开心的一次体验！酒店很好！老人孩子都开心！我也开心！东部华侨城去过几次都是当天去当天回了，第一次在那里住呢！真不错,NULL,2015-03-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***2,NULL,朋友订的，反映还可以。下次有机会自己去感受下,NULL,2015-03-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***2,NULL,可以，酒店设施可以再好的。下次还来,NULL,2015-02-15,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,蓝***8,NULL,性价比不高的酒店，服务也不好！,NULL,2015-01-30,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,嫣***飞,NULL,预约挺快，还没入住，不过相信东部华侨城的7品质,NULL,2015-01-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,t***7,NULL,好满意，酒店房间设施好好，自助早餐也不错，景区好靓,NULL,2014-11-30,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,W***D,NULL,环境相当宁静！但里面设施与个人想的不同！,NULL,2014-11-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,米***瑞,NULL,总体来说不错，酒店距离茶溪谷步行大概20分钟，另外从景区门口坐车到酒店是另外收费的，每个人10元,NULL,2014-11-12,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,W***1,NULL,房间简单，整洁。装修挺好的，我挺喜欢的。,NULL,2014-11-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***g,NULL,不错的地方，更加高大上的可以住瀑布酒店,NULL,2014-11-01,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,q***6,NULL,环境不错，价格也合适，值得一住，去游玩很方便～,NULL,2014-10-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***5,NULL,房间干净舒适，前往景点的车很方便，餐厅早餐一般。,NULL,2014-10-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,w***1,NULL,房间很不错，就是餐厅很烂，又慢又贵,NULL,2014-10-04,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,T***A,NULL,订的大床房但给的双人房。本来下午两点才能入住的但跟酒店沟通说小朋友中午要午睡，前台服务人员马上安排给先打扫了。十分感谢！,NULL,2014-08-31,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,清***蓝,NULL,在山上，现在有班车直接到，到茶溪谷免费，到大侠谷就收10块了，环境还不错，只是入住那晚身体不舒服，没好好体验下,NULL,2014-08-30,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,f***m,NULL,这个团购还是不错。首先作为休闲游环境不错，空气清新。酒店简约也还好，就是隔音一般。泳池晚上游实在不错。住在景区就是吃饭实在不方便。,NULL,2014-08-27,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,c***a,NULL,划算，很漂亮!下次再去也要团这个!就是下雨郁闷,NULL,2014-08-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,G***0,NULL,环境不错，晚上很安静，早餐样式多。景点很漂亮，全家人玩得很开心，值得一去,NULL,2014-08-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,c***s,NULL,很满意的小踏青，除了酒店远一点外其他都OK啦,NULL,2014-08-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,午***雨,NULL,非常赞 超值的一次体验 酒店条件很不错 而且去景区有免费接驳巴士 每小时或半小时一班 很方便 早餐也非常好吃 新鲜好吃选择多 酒店还有免费的游泳馆 强烈推荐,NULL,2014-08-07,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,杨***8,NULL,还可以，挺划算的，特别好玩，非常喜欢，有机会还要再来的，下次见,NULL,2014-08-05,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***5,NULL,不错！大景区花点钱住里面是值得的！,NULL,2014-07-25,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,W***贝,NULL,环境很好,NULL,2014-06-23,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,w***茶,NULL,孩子们都玩得很开心，下次还参团，不错！愉快的假期！,NULL,2014-04-08,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,v***9,NULL,环境还可以，就是出行很不方便。,NULL,2014-04-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,p***n,NULL,酒店藏了一招坑人的。大家注意了。我提前了三天预约，就说没大床房了，但团购里是有这个大床房跟双人床房供人选择的。然后说加点钱说有大床房，但要补100元升级。靠！！！太坑啦~~~~,NULL,2014-03-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,泪***奇,NULL,对于这次旅行很满意，尤其是酒店环境，服务都令人很满意，给予好评,NULL,2014-01-31,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2068698&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,L***2,NULL,非常满意的一次团购，首先位置很好找，客服会把驱车路线告诉的很清楚，酒店环境很干净，适合全家出行，温泉景区也很美，推荐，,NULL,2014-11-20,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2237542&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***3,NULL,非常震撼，身临其境，如痴如醉，非常满意,NULL,2015-04-25,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2263222&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,d***1,NULL,节目很震撼，场景不错，演员很投入,NULL,2015-04-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2263222&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,r***8,NULL,常去，服务态度好，值得一看。山西比较少见,NULL,2015-04-15,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2263222&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,黃***穎,NULL,老闆人不錯，老闆娘熱情親切友善,NULL,2015-04-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2263222&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,隔***哥,NULL,很不错的表演，推荐大家去了平遥一定要看！,NULL,2015-03-15,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2263222&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,洋***茶,NULL,好看极了，作为山西人，力挺，还会再看,NULL,2015-03-15,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2263222&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***1,NULL,平遥古城没什么意思，但这个情景剧超级超级好看！！气势恢宏、场景绚丽，不进城都必须得看的演出！,NULL,2015-03-13,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2263222&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***2,NULL,很不错的表演，价格也实惠，挺好的,NULL,2014-09-02,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2263222&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,l***1,NULL,实在是太实惠，有了它，我们可以疯狂的坐地铁到处逛,NULL,2015-04-22,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2237018&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,z***q,NULL,方便，每次去香港都会买，怎么坐地铁都不担心,NULL,2015-04-21,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2237018&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,z***n,NULL,到店自提，店铺就在罗湖地铁出口，因为之前预约好了，所以直接报下名字就行～在罗湖坐一趟港铁都20多，两天下来算算还是划得来。,NULL,2015-03-26,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2237018&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,W***6,NULL,方便快捷，第四次光顾了，寄件快,NULL,2015-03-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2237018&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,W***6,NULL,方便，快捷，第三次光顾了！寄件速度快,NULL,2015-03-03,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2237018&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,小***t,NULL,去两天香港坐地铁都不用购票，很好，很方便，而且不用购买八达通，超值,NULL,2015-02-16,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2237018&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
NULL,NULL,q***哥,NULL,两日通是到凌晨12就结束的.没有几点刷进去隔天几点还能刷出来的规定...,NULL,2015-02-11,http://t.dianping.com/ajax/detailDealRate?dealGroupId=2237018&filtEmpty=1&pageNo=,NULL,NULL,2015-04-29 22:11:08,差评
